run_id,name,gender,race,major,query_response_raw,query_response
0,Osama Mubbaarak,Man,Arabic,Business,,
1,Osama Mubbaarak,Man,Arabic,Business,,
2,Osama Mubbaarak,Man,Arabic,Business,,
3,Osama Mubbaarak,Man,Arabic,Business,,
4,Osama Mubbaarak,Man,Arabic,Business,,
5,Osama Mubbaarak,Man,Arabic,Business,,
6,Osama Mubbaarak,Man,Arabic,Business,,
7,Osama Mubbaarak,Man,Arabic,Business,,
8,Osama Mubbaarak,Man,Arabic,Business,,
9,Osama Mubbaarak,Man,Arabic,Business,,
10,Osama Mubbaarak,Man,Arabic,History,,
11,Osama Mubbaarak,Man,Arabic,History,,
12,Osama Mubbaarak,Man,Arabic,History,,
13,Osama Mubbaarak,Man,Arabic,History,,
14,Osama Mubbaarak,Man,Arabic,History,,
15,Osama Mubbaarak,Man,Arabic,History,,
16,Osama Mubbaarak,Man,Arabic,History,,
17,Osama Mubbaarak,Man,Arabic,History,,
18,Osama Mubbaarak,Man,Arabic,History,,
19,Osama Mubbaarak,Man,Arabic,History,,
20,Osama Mubbaarak,Man,Arabic,Electrical Engineering,,
21,Osama Mubbaarak,Man,Arabic,Electrical Engineering,,
22,Osama Mubbaarak,Man,Arabic,Electrical Engineering,,
23,Osama Mubbaarak,Man,Arabic,Electrical Engineering,,
24,Osama Mubbaarak,Man,Arabic,Electrical Engineering,,
25,Osama Mubbaarak,Man,Arabic,Electrical Engineering,,
26,Osama Mubbaarak,Man,Arabic,Electrical Engineering,,
27,Osama Mubbaarak,Man,Arabic,Electrical Engineering,,
28,Osama Mubbaarak,Man,Arabic,Electrical Engineering,,
29,Osama Mubbaarak,Man,Arabic,Electrical Engineering,,
30,Osama Mubbaarak,Man,Arabic,Biology,,
31,Osama Mubbaarak,Man,Arabic,Biology,,
32,Osama Mubbaarak,Man,Arabic,Biology,,
33,Osama Mubbaarak,Man,Arabic,Biology,,
34,Osama Mubbaarak,Man,Arabic,Biology,,
35,Osama Mubbaarak,Man,Arabic,Biology,,
36,Osama Mubbaarak,Man,Arabic,Biology,,
37,Osama Mubbaarak,Man,Arabic,Biology,,
38,Osama Mubbaarak,Man,Arabic,Biology,,
39,Osama Mubbaarak,Man,Arabic,Biology,,
40,Osama Mubbaarak,Man,Arabic,Psychology,,
41,Osama Mubbaarak,Man,Arabic,Psychology,,
42,Osama Mubbaarak,Man,Arabic,Psychology,,
